"logins","type","repo","avatar"
"oespinozah","issue_authors","epiCo","https://avatars.githubusercontent.com/u/60980297?u=49afaa50e6667b1995bd4c6610c54dc0188937c6&v=4"
"Oscarcasas92","issue_authors","sivirep","https://avatars.githubusercontent.com/u/62342833?u=9dba82414e9bb91376b02d2509a0df1ae73fd421&v=4"
"papsti","issue_authors, issue_contributors","epiparameter, episoap, epiversetheme","https://avatars.githubusercontent.com/u/21325059?u=cae2a80d268a16a247a8818b32ea936370ccc230&v=4"
"PaulC91","issue_contributors","epiparameter, simulist","https://avatars.githubusercontent.com/u/25231784?u=0b85149cefba47b9dc55bdea49ea2ec46cb9b311&v=4"
"paulkorir","issue_authors","episoap","https://avatars.githubusercontent.com/u/31738053?u=f8713a589d6e37ae4e0175f8fa458b504da705eb&v=4"
"pearsonca","issue_authors","epichains","https://avatars.githubusercontent.com/u/1828039?u=45f4dc14d6a6f7c523a1a58aab4d5dade32f15cc&v=4"
"pitmonticone","code","epiparameter, linelist","https://avatars.githubusercontent.com/u/38562595?v=4"
"prabasaj","issue_authors","epiparameter","https://avatars.githubusercontent.com/u/21697331?v=4"
"pratikunterwegs","code, issue_authors, issue_contributors",".github, blueprints, cfr, cleanepi, epichains, epiCo, epidemics, epiparameter, episoap, epiverse-trace.github.io, epiverse-trace.r-universe.dev, finalsize, hex-stickers, howto, iraca, packagetemplate, quickfit, readepi, scenarios, simulist, superspreading, tracetheme, tutorials, tutorials-early, tutorials-late, tutorials-middle, vaccineff","https://avatars.githubusercontent.com/u/25272594?v=4"
"rccreswell","issue_contributors","serofoi","https://avatars.githubusercontent.com/u/56924958?v=4"
"roberthinch","issue_authors","epidemics","https://avatars.githubusercontent.com/u/17180566?v=4"
"roganich","issue_authors","epiCo","https://avatars.githubusercontent.com/u/73041689?u=9143140fd4e532b5149b913c61fd96a9535de494&v=4"
"rozeggo","code, issue_authors, issue_contributors","blueprints, epidemics, epiparameter, episoap, finalsize, tracetheme, tutorials","https://avatars.githubusercontent.com/u/3005021?v=4"
"sbfnk","code, issue_authors, issue_contributors",".github, blueprints, cfr, cleanepi, epichains, epidemics, epiparameter, episoap, epiverse-trace.github.io, finalsize, howto, linelist, packagetemplate, quickfit, serofoi, simulist, superspreading, tutorials-middle","https://avatars.githubusercontent.com/u/1156307?u=ebb3f97708c52159d8bc69dc7336ac912d069606&v=4"
"sdwfrost","issue_authors","epidemics","https://avatars.githubusercontent.com/u/2164195?u=2758df021966e4e788b4ebb15871241483e6a170&v=4"
"seabbs","issue_authors, issue_contributors","cfr, epiparameter, episoap, howto, simulist","https://avatars.githubusercontent.com/u/20317649?u=eff3f4970c361f47af4e653fa562743001c5c2c3&v=4"
"sellorm","code","shinyapps-tracelac","https://avatars.githubusercontent.com/u/2036487?v=4"
"SilvRondon","issue_authors","epiCo","https://avatars.githubusercontent.com/u/135756031?v=4"
"sumalibajaj","issue_authors","serofoi","https://avatars.githubusercontent.com/u/34308572?u=bad3c6201a3fe7121adc2349fa56388a24342844&v=4"
"teunbrand","code","vaccineff","https://avatars.githubusercontent.com/u/49372158?v=4"
"thibautjombart","code, issue_authors","blueprints, cleanepi, epiparameter, episoap, finalsize, linelist, packagetemplate, readepi, safeframe","https://avatars.githubusercontent.com/u/10757154?v=4"
"thimotei","code","cfr","https://avatars.githubusercontent.com/u/11581083?v=4"
"TimTaylor","code, issue_authors, issue_contributors","blueprints, cfr, epidemics, epiparameter, episoap, epiverse-trace.github.io, etdev, finalsize, howto, linelist, packagetemplate, readepi, research-compendium, safeframe, simulist, superspreading, tutorials-early","https://upload.wikimedia.org/wikipedia/commons/7/7c/Profile_avatar_placeholder_large.png"
"tracelac","code","serofoi, sivirep, vaccineff","https://avatars.githubusercontent.com/u/110865079?v=4"
"wibeasley","issue_authors","readepi","https://avatars.githubusercontent.com/u/1372890?v=4"
"willandru","issue_authors","serofoi","https://avatars.githubusercontent.com/u/65750023?u=147625f4d1bb9705e14a104573fd7b58a7b7e73a&v=4"
"wzmli","issue_authors","epiparameter","https://avatars.githubusercontent.com/u/13575824?u=ab43aaa3cae9faebd9da88f8157610e103c96504&v=4"
"yungwai-chan","issue_authors","serofoi","https://avatars.githubusercontent.com/u/84997490?v=4"
"zkamvar","code","epichains","https://avatars.githubusercontent.com/u/3639446?v=4"
"zmcucunuba","code","epi-training-kit, serofoi, sivirep, vaccineff","https://avatars.githubusercontent.com/u/22243967?v=4"
